degree,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
5,0.001,,False,10,100,100,1.0,100,100,1.0,0,5,2,64631.953703,-1.4633554989817514,,,0
5,0.001,,False,10,100,100,1.0,100,100,1.0,0,5,2,64653.569726,-1.4943178236540176,,,1
5,0.001,,False,10,100,100,1.0,100,100,1.0,0,5,2,56026.46621,-1.4951338844350353,,,2
5,0.001,,False,10,100,100,1.0,100,100,1.0,0,5,2,52094.492247,-1.4476621726782675,,,3
5,0.001,,False,10,100,100,1.0,100,100,1.0,0,5,2,52215.982224,-1.4674082014021177,,,4
5,0.001,,False,5,20,100,1.0,20,100,1.0,0,5,2,11012.521078,-1.067158794240987,,,0
5,0.001,,False,5,20,100,1.0,20,100,1.0,0,5,2,12219.289756,-1.1757017017313103,,,1
5,0.001,,False,5,20,100,1.0,20,100,1.0,0,5,2,11073.100744,-1.1600759794766955,,,2
5,0.001,,False,5,20,100,1.0,20,100,1.0,0,5,2,10985.319229,-1.0677026115542674,,,3
5,0.001,,False,5,20,100,1.0,20,100,1.0,0,5,2,10603.345881,-1.1063030988276954,,,4
5,0.001,,False,5,100,100,1.0,100,100,1.0,0,5,2,34364.743808,-1.1169175358673344,,,0
5,0.001,,False,5,100,100,1.0,100,100,1.0,0,5,2,36638.704901,-1.1411306133600425,,,1
5,0.001,,False,5,100,100,1.0,100,100,1.0,0,5,2,32676.600335,-1.1327201025999527,,,2
5,0.001,,False,5,100,100,1.0,100,100,1.0,0,5,2,30293.122133,-1.093232917539457,,,3
5,0.001,,False,5,100,100,1.0,100,100,1.0,0,5,2,28201.006404,-1.0902802538282188,,,4
5,0.001,,False,10,20,100,1.0,20,100,1.0,0,5,2,19763.442273,-1.488935726504352,,,0
5,0.001,,False,10,20,100,1.0,20,100,1.0,0,5,2,20053.215828,-1.4950699679963488,,,1
5,0.001,,False,10,20,100,1.0,20,100,1.0,0,5,2,19840.089961,-1.4019113909936118,,,2
5,0.001,,False,10,20,100,1.0,20,100,1.0,0,5,2,19292.258058,-1.489605201073756,,,3
5,0.001,,False,10,20,100,1.0,20,100,1.0,0,5,2,19177.307479,-1.3647496528854768,,,4
5,0.001,,False,20,20,100,1.0,20,100,1.0,0,5,2,36748.316576,-1.5693314769045998,,,0
5,0.001,,False,20,20,100,1.0,20,100,1.0,0,5,2,37249.851266,-1.560192116986881,,,1
5,0.001,,False,20,20,100,1.0,20,100,1.0,0,5,2,36165.132764,-1.561987223209612,,,2
5,0.001,,False,20,20,100,1.0,20,100,1.0,0,5,2,33883.062534,-1.5459279264496038,,,3
5,0.001,,False,20,20,100,1.0,20,100,1.0,0,5,2,32649.130947,-1.5437678593675506,,,4
5,0.001,,False,20,100,100,1.0,100,100,1.0,0,5,2,119092.754707,-1.5675414786758877,,,0
5,0.001,,False,20,100,100,1.0,100,100,1.0,0,5,2,109910.850481,-1.5809800635922409,,,1
5,0.001,,False,20,100,100,1.0,100,100,1.0,0,5,2,103303.389321,-1.5747248825269333,,,2
5,0.001,,False,20,100,100,1.0,100,100,1.0,0,5,2,99175.006153,-1.5814689096729184,,,3
5,0.001,,False,20,100,100,1.0,100,100,1.0,0,5,2,101664.103356,-1.5583063049506485,,,4
